band_index,F_score,p_value
523,0.6529461809441643,0.4232205213367205
725,0.6522419632987365,0.42346892793626845
506,0.6522392606856139,0.42346988168736854
509,0.649734073004197,0.42435537228178666
548,0.649274774158334,0.4245180237542894
492,0.6489682447948049,0.4246266279373342
569,0.6486095553345426,0.42475376645694707
570,0.6472584851386213,0.4252331795417226
726,0.6465738360461415,0.42547643580125394
540,0.6451768680038082,0.42597343982135394
563,0.6445167847231654,0.4262085888542473
571,0.6440655306527431,0.4263694585957628
567,0.6408610590793036,0.42751451545406804
727,0.6399233762858495,0.427850469915374
490,0.6324559683720944,0.4305404347099957
553,0.6303517536240731,0.4313031301634347
508,0.6297380772786076,0.43152595600439203
491,0.6296545337471663,0.4315563043809286
809,0.6292940122577318,0.4316873066972219
507,0.6291123965159897,0.43175332345036066
575,0.6248506972876672,0.43330692198350307
501,0.6212919803124183,0.4346108799112366
565,0.6207698524140782,0.43480270495010687
728,0.6191186988507925,0.4354101879958291
549,0.6168934094617173,0.43623098846815667
566,0.616209268190383,0.4364838174565978
489,0.6159350352005698,0.43658522598905614
564,0.6150427003848129,0.4369154556414505
552,0.6135628639385525,0.4374639606142562
520,0.6126106870495256,0.43781745369946823
522,0.6118904228125096,0.43808514520415354
500,0.6066314997395115,0.4400474144880465
533,0.605737322221036,0.440382423895599
488,0.6053110470974993,0.4405422708713189
531,0.6046291980220336,0.44079814290596375
532,0.6015072411480962,0.4419726678423004
551,0.6012450039253496,0.44207154815395133
550,0.6003700465669374,0.44240171415719165
808,0.5960071892210924,0.44405382705780005
521,0.58783484339067,0.4471747158442564
487,0.5841028394533166,0.4486114256865412
541,0.5788760979556359,0.4506358732273549
486,0.5788368695344284,0.4506511220759952
543,0.5785647850215327,0.4507569091380881
416,0.5757898807418864,0.45183805290012935
479,0.5741908876769913,0.4524629165486942
542,0.5720748025150771,0.45329196828380447
478,0.5683766883893686,0.45474665907779666
484,0.5645812432857261,0.45624740029724864
485,0.5645446480928535,0.4562619087759354
729,0.5563061821812414,0.45954703997959634
480,0.5543848828671458,0.4603186326631705
483,0.5513102902652207,0.4615577361562785
482,0.5455658208982351,0.4638873137229449
477,0.5418512131893567,0.4654038635807427
481,0.5310828668879726,0.4698460765141712
